,city_name,cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
1,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
2,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
3,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
4,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
5,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
6,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
7,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
8,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
9,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
10,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
11,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
12,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
13,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
14,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
15,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
16,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
17,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
18,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
19,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
20,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
21,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
22,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
23,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
24,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
25,City,0,AU,1598726568,81,-35.28,149.13,37,1.99
26,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
27,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
28,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
29,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
30,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
31,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
32,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
33,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
34,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
35,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
36,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
37,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
38,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
39,City,0,AU,1598726419,81,-35.28,149.13,37,1.99
40,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
41,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
42,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
43,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
44,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
45,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
46,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
47,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
48,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
49,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
50,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
51,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
52,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
53,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
54,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
55,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
56,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
57,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
58,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
59,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
60,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
61,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
62,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
63,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
64,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
65,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
66,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
67,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
68,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
69,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
70,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
71,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
72,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
73,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
74,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
75,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
76,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
77,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
78,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
79,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
80,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
81,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
82,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
83,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
84,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
85,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
86,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
87,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
88,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
89,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
90,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
91,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
92,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
93,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
94,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
95,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
96,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
97,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
98,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
99,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
100,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
101,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
102,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
103,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
104,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
105,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
106,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
107,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
108,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
109,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
110,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
111,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
112,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
113,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
114,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
115,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
116,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
117,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
118,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
119,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
120,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
121,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
122,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
123,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
124,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
125,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
126,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
127,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
128,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
129,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
130,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
131,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
132,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
133,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
134,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
135,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
136,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
137,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
138,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
139,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
140,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
141,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
142,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
143,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
144,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
145,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
146,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
147,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
148,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
149,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
150,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
151,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
152,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
153,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
154,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
155,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
156,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
157,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
158,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
159,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
160,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
161,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
162,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
163,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
164,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
165,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
166,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
167,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
168,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
169,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
170,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
171,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
172,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
173,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
174,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
175,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
176,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
177,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
178,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
179,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
180,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
181,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
182,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
183,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
184,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
185,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
186,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
187,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
188,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
189,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
190,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
191,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
192,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
193,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
194,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
195,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
196,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
197,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
198,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
199,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
200,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
201,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
202,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
203,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
204,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
205,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
206,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
207,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
208,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
209,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
210,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
211,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
212,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
213,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
214,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
215,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
216,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
217,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
218,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
219,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
220,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
221,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
222,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
223,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
224,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
225,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
226,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
227,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
228,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
229,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
230,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
231,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
232,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
233,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
234,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
235,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
236,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
237,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
238,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
239,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
240,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
241,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
242,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
243,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
244,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
245,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
246,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
247,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
248,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
249,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
250,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
251,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
252,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
253,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
254,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
255,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
256,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
257,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
258,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
259,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
260,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
261,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
262,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
263,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
264,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
265,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
266,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
267,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
268,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
269,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
270,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
271,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
272,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
273,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
274,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
275,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
276,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
277,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
278,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
279,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
280,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
281,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
282,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
283,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
284,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
285,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
286,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
287,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
288,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
289,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
290,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
291,City,0,AU,1598726615,81,-35.28,149.13,37,1.99
